"","cnt","var","year","agr","min","man","pu","con","wrt","tra","com","fin","dwe","pub","oth","tot","c_id"
"1","ARG","VA",1990,8316.566,2709.652,43778.9,4174.59,6444.1,19509.69,5723.032,7537.731,3118.391,3746.632,11014.62,4417.406,120491.3,1
"2","ARG","VA",1991,18047.87,5130.28,104598.1,9189.441,17711.97,52132.43,14933.63,20373.43,8428.576,10126.62,33673.89,13504.88,307851.1,1
"3","ARG","VA",1992,20187.2,5594.654,117573.2,12033.09,25484.85,63449.61,18576.51,28097.5,11624.05,13965.87,44329.28,17778.22,378694,1
"4","ARG","VA",1993,20859.08,5867.889,124613.8,13786.67,33096.38,68999.87,20633.54,33558.52,13883.3,16680.27,51019.36,20461.27,423460,1
"5","ARG","VA",1994,22466.1,6355.075,132514.9,14604.94,35366.1,75152.15,23341.59,32498.1,13444.6,16153.19,54846.58,21510.59,448253.9,1
"6","ARG","VA",1995,23708.59,8049.104,128553.4,15321.47,33148.46,72343.64,24375.7,35616.68,14734.77,17703.28,55901.28,21077.92,450534.3,1
"7","ARG","VA",1996,26217.89,9796.816,137858.9,15685.44,33427.24,78212.92,26219.13,35481.2,14678.72,17635.94,56016.73,21737.71,472968.6,1
"8","ARG","VA",1997,26257.48,9370.311,154205,16492.62,37266.16,86254.43,29353.13,36507.85,15103.45,18146.24,58006.67,22729.81,509693.2,1
"9","ARG","VA",1998,26961.27,7172.597,154043.8,17450.11,40519.03,88210.88,31192.76,40141.68,16606.78,19952.44,60472.18,22712.91,525436.5,1
"10","ARG","VA",1999,21700.58,7776.15,138917.3,18385.09,37976.81,80120.8,30034.87,41566.22,17196.12,20660.5,63399.75,22654.1,500388.3,1
"11","ARG","VA",2000,22836.38,11807.52,135414.8,19736.75,32886.85,77097.65,30868.3,41564.34,17195.34,20659.57,65242.08,23098.29,498407.9,1
"12","ARG","VA",2001,21076.79,11075.25,124913.3,18981.47,28658.27,70483.31,29251.65,49662.8,20545.71,24684.91,64150.24,22746.99,486230.7,1
"13","ARG","VA",2002,54777.75,31066.6,183730.5,16045.17,19491.71,70891.15,29563.21,59389.93,24569.86,29519.79,61679.79,18871.87,599597.3,1
"14","ARG","VA",2003,66660.17,34150.74,244181.7,18367.09,28495.32,86772.16,38335.33,49380.46,20428.9,24544.57,67173.27,21506.37,699996.1,1
"15","ARG","VA",2004,74084.15,39163.81,288271.7,20890.23,42662.91,102529.2,47989.19,61507.6,25445.96,30572.38,75477.32,26017.3,834611.8,1
"16","ARG","VA",2005,82463.79,45963.51,332043.1,24031.54,54217.82,125732,56069.67,77039.22,31249.53,34262.37,95928.61,31467.37,990468.6,1
"17","ARG","VA",2006,91136.23,64814.85,395647.9,28173.71,71213.16,156462.3,67203.5,99467.81,38816.05,38065.91,120562.7,39676.28,1211240,1
"18","ARG","VA",2007,123348.8,68136.76,475383.4,35959.35,90433.9,202323.4,83084.82,132343.3,48962.05,42852.12,156278.9,48613.41,1507720,1
"19","ARG","VA",2008,154837.7,76767.06,592400,42723.5,116288,261870.3,102566.8,170965,61679.39,51766.98,211479.5,62925.02,1906269,1
